assignment.Organization,demo
partyId,organizationName,annualRevenue,numEmployees
P2,TechWorks Ltd,5000000,120
P4,Global Innovations,15000000,350
P6,Creative Industries,9000000,200
P8,Preetam Enterprises,20000000,500
P10,Tech Solutions,3500000,80
P12,GreenTech Inc,12000000,300
P14,Sunrise Enterprises,25000000,650
P16,Future Enterprises,18000000,400
P18,Visionary Corp,9500000,210
P20,BlueSky Technologies,13000000,320
P22,Alpha Systems,8000000,150
P24,Delta Innovations,10000000,250
P26,Zenith Corp,11000000,270
P28,NeoTech Solutions,9500000,210
P30,Global Enterprises,13500000,380
P32,TechVista Ltd,5500000,100
P34,Prime Technologies,14000000,420
P36,CyberTech Solutions,13000000,330
P38,Quantum Innovations,11500000,275
P40,Revolutionary Systems,12500000,350
P42,EverGreen Solutions,17000000,450
P44,TechFront Ltd,18000000,600
P46,DataVision,12000000,260
P48,Smart Innovations,9500000,210
P50,Innovative Enterprises,13500000,370
